url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_mark_count,equal_count,at_count,digit_count,special_character_count,https,contains_ip,subdomain_count,suspicious_word_count,has_login,has_verify,has_account,has_password,has_payment,has_otp,has_kyc,label
85,34,43,0,2,5,0,5,0,0,0,21,13,1,0,1,0,0,0,0,0,0,0,0,1
27,13,6,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
19,11,0,0,2,0,0,2,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0
34,9,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
23,15,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
20,13,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
51,42,1,0,2,4,0,3,0,0,0,3,10,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,0,0,6,0,0,0,10,9,1,0,1,0,0,0,0,0,0,0,0,1
40,17,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
90,75,8,0,6,2,0,4,0,0,0,0,13,0,0,5,1,0,0,1,0,0,0,0,1
31,22,1,0,1,1,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
38,29,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,0,1,6,0,0,0,7,10,1,0,1,0,0,0,0,0,0,0,0,1
47,38,1,0,5,0,0,3,0,0,0,2,9,1,0,4,0,0,0,0,0,0,0,0,1
43,27,8,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
50,35,8,0,3,0,0,4,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1
48,41,0,0,2,5,0,2,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,1
48,41,0,0,2,1,0,2,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,1
56,15,33,0,1,2,0,6,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,1
25,12,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
44,12,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
44,30,6,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
24,16,0,0,2,0,0,2,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0
26,12,6,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
42,35,0,0,2,0,0,2,0,0,0,7,5,0,0,1,0,0,0,0,0,0,0,0,1
36,27,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
42,22,12,0,3,0,0,3,0,0,0,7,7,1,0,1,0,0,0,0,0,0,0,0,1
43,34,1,0,2,0,0,3,0,0,0,0,6,1,0,1,1,0,0,0,0,0,0,0,1
34,25,1,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
51,42,1,0,2,4,0,3,0,0,0,2,10,1,0,1,0,0,0,0,0,0,0,0,1
34,9,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
44,12,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
40,31,1,0,2,0,0,3,0,0,0,3,6,1,0,1,0,0,0,0,0,0,0,0,1
32,18,6,0,2,0,0,4,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,1
25,17,0,0,1,2,0,2,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0
26,12,6,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
27,13,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
44,36,1,0,2,4,0,3,0,0,0,8,10,0,0,1,0,0,0,0,0,0,0,0,1
139,62,11,57,3,6,1,3,1,1,0,0,19,1,0,2,1,1,0,0,0,0,0,0,1
25,12,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
53,46,0,0,2,2,0,2,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,1
41,34,0,0,3,1,0,2,0,0,0,2,7,0,0,2,0,0,0,0,0,0,0,0,1
34,16,10,0,2,0,0,4,0,0,0,0,7,1,0,1,1,0,0,0,0,0,0,0,1
22,7,7,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1
16,8,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
26,17,1,0,2,0,0,3,0,0,0,4,6,1,0,1,0,0,0,0,0,0,0,0,1
25,11,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
34,11,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
51,17,1,24,2,0,0,3,1,0,0,4,7,1,0,1,1,1,0,0,0,0,0,0,1
39,7,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
39,23,8,0,1,1,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
40,31,1,0,2,2,0,3,0,0,0,6,8,1,0,1,0,0,0,0,0,0,0,0,1
15,7,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
45,13,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
35,26,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
51,33,10,0,2,2,0,4,0,0,0,0,9,1,0,1,1,1,0,0,0,0,0,0,1
33,8,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
36,24,5,0,2,1,0,3,0,0,0,0,7,0,0,1,1,1,0,0,0,0,0,0,1
41,16,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
47,24,5,9,1,1,0,3,1,1,0,6,8,1,0,0,0,0,0,0,0,0,0,0,0
51,42,1,0,2,4,0,3,0,0,0,3,10,1,0,1,0,0,0,0,0,0,0,0,1
22,9,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
46,39,0,0,2,3,0,2,0,0,0,7,8,0,0,1,0,0,0,0,0,0,0,0,1
37,28,1,0,2,0,0,3,0,0,0,4,6,1,0,1,0,0,0,0,0,0,0,0,1
32,18,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
43,11,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
39,14,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
45,37,1,0,2,4,0,3,0,0,0,8,10,0,0,1,0,0,0,0,0,0,0,0,1
64,34,22,0,1,1,0,5,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,1
29,16,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
43,36,0,0,2,2,0,2,0,0,0,8,7,0,0,1,0,0,0,0,0,0,0,0,1
18,10,0,0,1,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
49,41,1,0,2,4,0,3,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,1
43,11,24,0,1,0,0,5,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,1
34,11,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
28,15,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
36,28,0,0,2,1,0,2,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,0,1,6,0,0,0,8,10,1,0,1,0,0,0,0,0,0,0,0,1
40,31,1,0,2,1,0,3,0,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,1
33,10,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
32,9,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
50,42,1,0,2,4,0,3,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,1
53,45,1,0,2,4,0,3,0,0,0,3,10,0,0,1,1,0,0,0,0,0,0,0,1
27,13,6,0,1,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0
31,20,4,0,2,0,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1
35,12,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
45,13,7,16,1,1,0,3,1,2,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0
35,10,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
26,10,8,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1
26,11,7,0,1,1,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
41,16,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
24,10,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
18,10,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1
18,10,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
32,25,0,0,2,1,0,2,0,0,0,8,6,0,0,1,0,0,0,0,0,0,0,0,1
42,10,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
41,16,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
22,8,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
32,19,5,0,1,2,0,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
39,16,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
36,11,7,9,2,0,0,3,1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
41,32,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
28,21,0,0,2,0,0,2,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,0,1,6,0,0,0,7,10,1,0,1,0,0,0,0,0,0,0,0,1
27,12,7,0,1,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1
47,38,1,0,2,3,0,3,0,0,0,0,9,1,0,1,1,0,0,0,0,0,0,0,1
44,31,6,0,2,3,0,3,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1
35,10,7,9,1,0,0,3,1,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0
24,11,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
30,17,5,0,1,0,0,3,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0
27,10,9,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1
44,11,25,0,2,1,0,5,0,0,0,8,9,1,0,1,0,0,0,0,0,0,0,0,1
21,13,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
42,10,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
31,22,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
32,23,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
47,15,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
50,41,1,0,2,4,0,3,0,0,0,3,10,1,0,1,0,0,0,0,0,0,0,0,1
31,18,5,0,1,1,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
16,8,0,0,1,0,0,2,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0
155,36,111,0,2,12,0,5,0,0,0,17,22,1,0,1,0,0,0,0,0,0,0,0,1
44,35,1,0,2,2,0,3,0,0,0,6,8,1,0,1,0,0,0,0,0,0,0,0,1
262,39,57,158,2,10,4,4,1,1,0,37,23,0,0,1,0,0,0,0,0,0,0,0,1
35,20,7,0,2,1,0,3,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,1
44,12,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
35,10,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
31,23,1,0,2,0,0,3,0,0,0,8,6,0,0,1,0,0,0,0,0,0,0,0,1
41,9,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
32,9,5,9,1,0,0,3,1,1,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0
30,17,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
50,41,1,0,2,2,0,3,0,0,0,2,8,1,0,1,0,0,0,0,0,0,0,0,1
46,38,1,0,2,4,0,3,0,0,0,7,10,0,0,1,0,0,0,0,0,0,0,0,1
48,41,0,0,2,1,0,2,0,0,0,11,6,0,0,1,0,0,0,0,0,0,0,0,1
114,29,39,37,4,0,0,6,1,1,0,47,13,1,0,1,0,0,0,0,0,0,0,0,1
51,42,1,0,2,4,0,3,0,0,0,3,10,1,0,1,0,0,0,0,0,0,0,0,1
47,29,10,0,2,1,0,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1
34,9,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
37,28,1,0,2,0,0,3,0,0,0,2,6,1,0,1,0,0,0,0,0,0,0,0,1
30,21,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
35,26,1,0,2,0,0,3,0,0,0,6,6,1,0,1,0,0,0,0,0,0,0,0,1
22,7,7,0,1,1,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
42,10,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
75,43,24,0,3,1,0,3,0,0,0,21,8,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,2,1,6,0,0,0,7,12,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,0,1,6,0,0,0,8,10,1,0,1,0,0,0,0,0,0,0,0,1
33,12,13,0,1,0,0,4,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1
35,12,5,9,2,0,0,3,1,1,0,6,8,1,0,1,0,0,0,0,0,0,0,0,0
34,15,4,0,1,1,0,5,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1
36,11,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
180,22,99,50,3,4,0,7,1,1,0,70,19,1,0,1,0,0,0,0,0,0,0,0,1
46,37,1,0,2,2,0,3,0,0,0,6,8,1,0,1,0,0,0,0,0,0,0,0,1
26,12,6,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
15,7,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
38,23,7,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
17,9,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
50,41,1,0,2,4,0,3,0,0,0,2,10,1,0,1,0,0,0,0,0,0,0,0,1
27,13,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
20,13,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
42,10,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
20,6,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
34,11,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
23,9,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
52,43,1,0,5,0,0,3,0,0,0,2,9,1,0,4,0,0,0,0,0,0,0,0,1
324,26,13,276,4,0,0,4,1,2,0,40,14,1,0,1,0,0,0,0,0,0,0,0,1
50,16,1,24,2,0,0,3,1,0,0,6,7,1,0,1,1,1,0,0,0,0,0,0,1
50,11,29,1,1,0,0,3,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
48,33,7,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,0,0,6,0,0,0,7,9,1,0,1,0,0,0,0,0,0,0,0,1
46,32,6,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
84,15,61,0,2,2,0,6,0,0,0,8,11,1,0,1,0,0,0,0,0,0,0,0,1
34,25,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
25,12,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
28,15,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
23,10,5,0,1,0,0,3,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0
32,23,1,0,2,0,0,3,0,0,0,0,6,1,0,1,2,0,1,0,0,0,0,0,1
27,5,14,0,1,0,0,3,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,1
26,12,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
36,27,1,0,2,1,0,3,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,1
24,11,5,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
36,22,6,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
55,48,0,0,2,2,0,2,0,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,1
37,29,0,0,2,1,0,2,0,0,0,5,6,1,0,1,0,0,0,0,0,0,0,0,1
33,25,0,0,2,0,0,2,0,0,0,0,5,1,0,1,1,0,0,0,0,0,0,0,1
30,7,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
24,9,7,0,1,0,0,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1
20,12,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
35,18,9,0,2,0,0,3,0,0,0,3,6,1,0,1,0,0,0,0,0,0,0,0,1
24,11,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
54,13,33,0,3,0,0,4,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
37,5,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
40,8,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
23,15,0,0,1,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1
47,39,1,0,2,4,0,3,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,1
46,38,0,0,2,0,0,2,0,0,0,13,5,1,0,1,0,0,0,0,0,0,0,0,1
40,8,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
42,28,6,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
19,6,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
25,17,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
38,15,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
28,14,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
30,16,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
24,10,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
40,15,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
47,39,1,0,2,4,0,3,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,1
47,39,1,0,2,4,0,3,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,1
44,35,1,0,2,3,0,3,0,0,0,0,9,1,0,1,1,0,0,0,0,0,0,0,1
31,23,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1
46,38,1,0,2,3,0,3,0,0,0,4,9,0,0,1,0,0,0,0,0,0,0,0,1
19,12,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
50,42,1,0,2,4,0,3,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,1
51,42,1,0,2,4,0,3,0,0,0,2,10,1,0,1,0,0,0,0,0,0,0,0,1
57,28,21,0,3,0,0,5,0,0,0,16,9,1,0,2,2,0,0,0,0,1,0,0,1
69,29,1,30,2,0,0,3,1,2,0,0,11,1,0,1,1,0,1,0,0,0,0,0,1
47,15,7,16,2,0,0,3,1,2,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0
41,26,7,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
33,19,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
24,11,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
42,17,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
33,8,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
34,12,5,8,1,1,0,3,1,1,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0
72,28,37,0,2,6,0,4,0,0,0,8,13,0,0,1,0,0,0,0,0,0,0,0,1
35,28,0,0,2,0,0,2,0,0,0,8,5,0,0,1,0,0,0,0,0,0,0,0,1
47,39,1,0,2,4,0,3,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,1
53,21,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
